open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1640995200000,46192.43000000,46502.74000000,46192.43000000,46339.77000000,7.10135900,1640996099999,329035.04582651,244,4.89343000,226708.27998790
1640996100000,46305.98000000,46409.49000000,46237.05000000,46361.52000000,0.72145800,1640996999999,33427.61977562,51,0.30788300,14282.68363811
1640997000000,46375.75000000,46667.38000000,46375.75000000,46649.35000000,6.95029900,1640997899999,323212.73696184,147,6.71726500,312365.23023114
1640997900000,46608.39000000,46715.27000000,46568.01000000,46670.23000000,2.59085800,1640998799999,120887.91872850,101,0.29704000,13863.04816787
1640998800000,46643.41000000,46777.42000000,46564.34000000,46739.43000000,2.17788700,1640999699999,101539.82132372,91,0.44862200,20979.69358744
1640999700000,46757.52000000,46932.99000000,46752.86000000,46809.12000000,1.83346200,1641000599999,85926.72182043,151,1.27665100,59845.46432966
1641000600000,46804.79000000,46871.09000000,46740.72000000,46764.30000000,1.44244400,1641001499999,67489.66771736,45,0.08895800,4164.01483842
1641001500000,46752.77000000,46853.48000000,46718.96000000,46780.47000000,1.34551900,1641002399999,62968.65428709,49,0.23584300,11029.99695023
1641002400000,46816.14000000,46861.68000000,46797.71000000,46816.33000000,0.55219000,1641003299999,25865.26166021,29,0.07590500,3555.32217261
1641003300000,46900.00000000,46938.10000000,46863.90000000,46863.90000000,2.74488800,1641004199999,128746.98778734,44,0.99597400,46734.34717542
1641004200000,46816.33000000,46816.33000000,46740.58000000,46778.17000000,1.51431900,1641005099999,70792.43991888,38,1.05381800,49257.84859675
1641005100000,46807.18000000,46843.42000000,46764.92000000,46776.10000000,1.27862700,1641005999999,59850.78959874,39,1.12471600,52646.33450877
1641006000000,46814.71000000,46820.83000000,46796.40000000,46811.61000000,1.74105800,1641006899999,81506.24078068,29,1.02663300,48057.96260171
1641006900000,46843.42000000,46900.32000000,46781.77000000,46817.00000000,0.30942500,1641007799999,14486.84672521,27,0.28193000,13199.92624640
1641007800000,46828.98000000,46899.32000000,46820.69000000,46899.32000000,0.20389800,1641008699999,9549.16820262,17,0.15176800,7106.93598581
1641008700000,46877.12000000,46877.12000000,46821.19000000,46822.16000000,0.79328600,1641009599999,37159.05420841,22,0.24608000,11521.98362232
1641009600000,46819.58000000,46888.32000000,46650.45000000,46650.45000000,0.82662500,1641010499999,38622.85631045,36,0.21138800,9899.73260187
1641010500000,46684.64000000,46695.02000000,46643.77000000,46687.97000000,0.18190600,1641011399999,8489.81451083,22,0.10474700,4888.80515546
1641011400000,46716.54000000,46730.01000000,46646.43000000,46723.09000000,0.29364000,1641012299999,13714.38463653,18,0.12657400,5910.01714367
1641012300000,46761.34000000,46827.25000000,46730.00000000,46730.00000000,0.89340600,1641013199999,41776.14446140,55,0.21573000,10091.84351058
1641013200000,46691.49000000,46766.21000000,46667.27000000,46766.21000000,0.33898900,1641014099999,15829.62813766,27,0.01238500,578.58494106
1641014100000,46789.36000000,47477.92000000,46789.36000000,47382.18000000,4.71823600,1641014999999,222015.26926623,319,2.72502600,128176.73292177
1641015000000,47400.68000000,47574.72000000,47215.68000000,47324.99000000,2.33769400,1641015899999,110843.56871233,206,1.17194100,55665.98444109
1641015900000,47213.44000000,47298.00000000,47152.24000000,47224.86000000,1.50307200,1641016799999,70964.16708718,87,0.96093700,45365.32487356
1641016800000,47220.12000000,47312.13000000,47111.11000000,47312.13000000,0.71054400,1641017699999,33564.90330803,81,0.46176900,21816.33991600
1641017700000,47311.16000000,47311.16000000,47137.06000000,47137.06000000,0.35496900,1641018599999,16740.65924070,25,0.34214600,16135.23621246
1641018600000,47137.06000000,47171.50000000,47130.50000000,47171.49000000,0.11542500,1641019499999,5444.06614371,16,0.03127000,1474.45416950
1641019500000,47152.62000000,47222.22000000,46960.24000000,46960.24000000,1.79906300,1641020399999,84661.21587305,159,0.63092400,29701.66826072
1641020400000,46990.59000000,47042.66000000,46907.86000000,46975.04000000,1.57500300,1641021299999,73947.80759530,61,0.43850900,20585.35197189
1641021300000,47020.74000000,47043.98000000,46980.00000000,46991.68000000,0.16134300,1641022199999,7585.80414085,15,0.09206300,4329.30261115
1641022200000,46950.72000000,47111.11000000,46950.72000000,47073.22000000,0.16489300,1641023099999,7758.65116923,42,0.16184100,7615.23360179
1641023100000,47074.34000000,47245.75000000,47074.34000000,47245.75000000,1.79890600,1641023999999,84876.14035063,71,1.08989600,51407.34278541
1641024000000,47188.44000000,47204.70000000,47100.00000000,47132.43000000,0.57329300,1641024899999,27036.59463264,58,0.46520000,21941.48878031
1641024900000,47222.22000000,47334.00000000,47222.22000000,47330.01000000,0.30511100,1641025799999,14418.47697703,70,0.19741100,9330.28965654
1641025800000,47257.78000000,47259.58000000,47182.86000000,47218.95000000,0.10939600,1641026699999,5165.35881623,29,0.04442200,2097.68446050
1641026700000,47231.23000000,47251.52000000,47098.88000000,47139.91000000,0.15590900,1641027599999,7350.07593419,37,0.09266800,4370.83458617
