open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1701388800000,37730.95000000,37746.79000000,37637.18000000,37661.12000000,3.93782000,1701389699999,148410.91290670,191,1.14106000,43045.70721670
1701389700000,37660.47000000,37660.47000000,37611.02000000,37620.23000000,0.40862000,1701390599999,15379.61896130,151,0.28683000,10797.62870740
1701390600000,37640.85000000,37691.37000000,37623.02000000,37661.19000000,5.96074000,1701391499999,224448.16994780,273,4.78347000,180116.86584850
1701391500000,37689.77000000,37689.77000000,37636.53000000,37683.79000000,0.50560000,1701392399999,19046.27300720,126,0.16470000,6206.27607330
1701392400000,37686.22000000,37686.25000000,37632.91000000,37672.92000000,0.47372000,1701393299999,17844.22066280,87,0.22630000,8527.82613400
1701393300000,37680.86000000,37868.97000000,37657.49000000,37868.94000000,8.18270000,1701394199999,309334.64734380,501,7.42805000,280872.41411630
1701394200000,37850.05000000,37952.47000000,37812.12000000,37895.46000000,7.76421000,1701395099999,294265.86459470,363,5.62569000,213317.67802110
1701395100000,37927.02000000,37952.47000000,37847.17000000,37929.57000000,4.32997000,1701395999999,164180.13340370,355,2.58991000,98210.46451950
1701396000000,37935.00000000,37954.00000000,37853.09000000,37877.33000000,2.16260000,1701396899999,81949.86850440,237,1.37370000,52064.69475490
1701396900000,37877.33000000,37914.43000000,37854.68000000,37900.38000000,0.55887000,1701397799999,21170.74905790,199,0.28816000,10918.17763790
1701397800000,37894.71000000,37948.00000000,37875.52000000,37948.00000000,1.47509000,1701398699999,55918.02203250,152,1.13888000,43182.53285630
1701398700000,37948.00000000,38020.00000000,37914.14000000,37968.78000000,4.19161000,1701399599999,159214.98039380,367,3.05117000,115903.10003010
1701399600000,37981.02000000,38007.04000000,37935.21000000,37982.53000000,3.42836000,1701400499999,130172.19176130,119,2.33641000,88711.94305940
1701400500000,37952.66000000,38051.26000000,37943.34000000,37998.44000000,3.31654000,1701401399999,126024.43336790,287,2.42421000,92127.70536490
1701401400000,37972.50000000,38051.25000000,37970.22000000,38042.67000000,1.32047000,1701402299999,50212.31382900,100,1.08615000,41313.37227110
