open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1685577600000,27213.15000000,27347.62000000,27195.88000000,27322.42000000,14.84626000,1685578499999,404971.32841140,439,6.71589000,183155.76237520
1685578500000,27326.04000000,27342.05000000,27280.61000000,27280.61000000,8.63172000,1685579399999,235688.81634520,248,3.84972000,105129.94671660
1685579400000,27283.96000000,27298.94000000,27068.43000000,27115.48000000,37.54507000,1685580299999,1019185.20704420,1018,15.96381000,433414.54806120
1685580300000,27115.48000000,27115.48000000,27022.47000000,27073.15000000,16.80610000,1685581199999,454913.02803070,339,9.44832000,255721.66683740
1685581200000,27074.21000000,27144.51000000,27054.53000000,27130.71000000,9.89443000,1685582099999,268175.69470140,239,5.59803000,151706.44025280
1685582100000,27129.17000000,27140.69000000,27094.25000000,27140.45000000,7.54166000,1685582999999,204540.93169750,177,3.24341000,87983.52226930
1685583000000,27144.30000000,27170.33000000,27123.71000000,27123.71000000,6.57151000,1685583899999,178414.55791190,204,3.56753000,96870.53698560
1685583900000,27121.25000000,27160.12000000,27076.50000000,27082.78000000,13.97823000,1685584799999,378981.99823840,335,7.01000000,190065.26479680
1685584800000,27088.87000000,27091.18000000,27049.16000000,27064.62000000,2.57002000,1685585699999,69570.61373130,119,1.33937000,36264.19332290
1685585700000,27068.88000000,27085.74000000,27041.24000000,27074.61000000,5.31292000,1685586599999,143820.67032860,157,3.45043000,93412.92845490
1685586600000,27083.49000000,27113.37000000,27037.44000000,27041.70000000,2.44938000,1685587499999,66343.03126290,104,1.12483000,30476.23359950
1685587500000,27042.87000000,27050.50000000,26651.33000000,26724.69000000,107.24570000,1685588399999,2873174.10257100,2066,40.77244000,1091457.40905110
1685588400000,26714.41000000,26764.07000000,26611.33000000,26761.68000000,40.92804000,1685589299999,1092630.44777390,736,23.80044000,635455.78009470
1685589300000,26768.11000000,26822.56000000,26757.97000000,26762.89000000,9.20007000,1685590199999,246414.38330140,261,4.22071000,113070.14077720
1685590200000,26766.77000000,26838.08000000,26742.27000000,26785.47000000,9.82561000,1685591099999,263229.28896820,234,4.75262000,127327.92130850
1685591100000,26782.50000000,26794.92000000,26762.05000000,26788.17000000,3.76805000,1685591999999,100899.48754010,110,2.45448000,65731.18391860
1685592000000,26773.45000000,26812.28000000,26762.89000000,26794.27000000,3.52021000,1685592899999,94303.48400550,98,1.28287000,34371.52971460
