open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1612137600000,33097.72000000,33097.72000000,32477.07000000,32614.36000000,4.17579400,1612138499999,136756.99606430,150,0.98337400,32140.90473911
1612138500000,32617.79000000,32624.98000000,32287.34000000,32395.17000000,4.13164500,1612139399999,133763.38420812,142,1.24631500,40368.62341437
1612139400000,32372.95000000,32649.09000000,32372.95000000,32545.57000000,2.26065600,1612140299999,73456.50698311,67,1.89963700,61721.17157789
1612140300000,32542.02000000,32577.12000000,32493.54000000,32534.53000000,1.35646400,1612141199999,44137.73242180,34,0.84035300,27352.04198942
1612141200000,32546.49000000,32642.17000000,32529.04000000,32642.17000000,0.21913600,1612142099999,7140.19236339,20,0.05780900,1882.78216018
1612142100000,32599.15000000,32976.66000000,32598.87000000,32935.00000000,2.65494700,1612142999999,87071.54239469,95,1.84787600,60582.65809060
1612143000000,32928.79000000,33476.39000000,32813.39000000,33466.80000000,4.86925300,1612143899999,161486.46384973,148,2.20986300,73281.99187500
1612143900000,33487.78000000,33547.69000000,33340.40000000,33430.31000000,4.16069700,1612144799999,139104.25524924,97,2.89349200,96703.14359151
1612144800000,33430.31000000,33452.76000000,33218.03000000,33416.53000000,3.20778000,1612145699999,106876.92114218,65,0.58248600,19429.34142292
1612145700000,33473.91000000,33819.62000000,33473.91000000,33539.51000000,4.69056700,1612146599999,157972.79375783,156,3.14839600,106023.12170511
1612146600000,33583.23000000,33705.45000000,33497.10000000,33516.81000000,9.22171400,1612147499999,309728.87228057,150,5.75128700,193203.22323707
1612147500000,33572.57000000,33694.94000000,33568.18000000,33675.63000000,0.46672700,1612148399999,15697.27176678,27,0.22637000,7615.08397192
1612148400000,33680.58000000,33694.16000000,33535.35000000,33573.14000000,1.74445100,1612149299999,58541.37081070,33,0.06698200,2251.97416468
1612149300000,33608.15000000,33643.43000000,33452.05000000,33521.73000000,1.03364000,1612150199999,34650.30249130,32,0.24348800,8169.60924669
1612150200000,33605.04000000,33768.17000000,33528.96000000,33643.43000000,1.85866100,1612151099999,62672.05641846,84,1.40412200,47365.34875535
1612151100000,33653.17000000,33694.90000000,33542.43000000,33560.57000000,1.58942300,1612151999999,53447.75378789,63,1.27000700,42710.69675362
1612152000000,33586.79000000,33791.81000000,33427.25000000,33700.59000000,1.65352200,1612152899999,55566.94954248,73,0.86187600,29008.13839637
1612152900000,33714.25000000,33951.74000000,33666.46000000,33765.86000000,4.46558100,1612153799999,150891.75310114,92,3.33711300,112768.51853720
1612153800000,33694.94000000,33694.94000000,33561.73000000,33622.75000000,0.79607500,1612154699999,26767.42581566,37,0.50911700,17118.31225533
1612154700000,33609.34000000,33620.41000000,33531.25000000,33575.74000000,1.23694900,1612155599999,41530.09236498,44,0.70077000,23522.62552101
1612155600000,33565.42000000,33673.19000000,33492.72000000,33566.36000000,1.63611400,1612156499999,54925.43101108,96,0.37841100,12697.75095569
1612156500000,33542.42000000,33568.25000000,33422.86000000,33568.25000000,3.41067900,1612157399999,114349.34455136,82,2.84439800,95405.70843254
1612157400000,33576.93000000,33656.60000000,33568.25000000,33634.44000000,1.14337300,1612158299999,38431.92981821,73,0.31715400,10660.66033721
