open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1698796800000,34627.20000000,34627.47000000,34556.20000000,34576.90000000,0.31873000,1698797699999,11025.71715100,128,0.16633000,5755.71726480
1698797700000,34576.71000000,34617.79000000,34511.11000000,34540.60000000,1.65776000,1698798599999,57319.89147440,200,0.81535000,28207.46689450
1698798600000,34521.64000000,34589.57000000,34511.12000000,34511.12000000,0.98985000,1698799499999,34189.43855820,146,0.57459000,19847.68132640
1698799500000,34511.43000000,34556.49000000,34510.00000000,34510.01000000,1.01622000,1698800399999,35076.52309600,181,0.23434000,8091.94135800
1698800400000,34519.37000000,34519.37000000,34478.95000000,34514.59000000,1.08729000,1698801299999,37520.59775470,143,0.20862000,7198.62276180
1698801300000,34520.00000000,34542.11000000,34500.59000000,34531.65000000,0.93299000,1698802199999,32208.55176230,103,0.72582000,25059.58865130
1698802200000,34524.24000000,34549.99000000,34480.05000000,34503.11000000,1.16234000,1698803099999,40115.10065580,128,0.40326000,13920.13967060
1698803100000,34502.95000000,34510.00000000,34480.00000000,34480.73000000,0.17994000,1698803999999,6206.41223320,57,0.07970000,2749.64497680
1698804000000,34497.50000000,34497.50000000,34436.94000000,34491.44000000,2.65162000,1698804899999,91394.37255600,245,0.37278000,12851.24010550
1698804900000,34491.41000000,34495.69000000,34450.72000000,34468.02000000,0.12601000,1698805799999,4344.35667400,48,0.07376000,2543.78992470
1698805800000,34487.39000000,34498.18000000,34475.00000000,34475.03000000,0.65334000,1698806699999,22534.43489460,65,0.05131000,1769.89144610
1698806700000,34475.03000000,34491.48000000,34453.15000000,34465.88000000,1.11343000,1698807599999,38387.07357050,97,0.29859000,10296.57707070
1698807600000,34460.00000000,34478.49000000,34440.00000000,34444.10000000,0.68293000,1698808499999,23536.92925340,51,0.21125000,7282.79430890
1698808500000,34444.27000000,34467.65000000,34420.67000000,34438.65000000,0.85327000,1698809399999,29376.85290530,108,0.08697000,2996.99549980
1698809400000,34427.65000000,34441.69000000,34409.33000000,34427.81000000,0.63110000,1698810299999,21723.95347790,89,0.13588000,4678.72246060
1698810300000,34427.85000000,34457.32000000,34408.00000000,34448.75000000,0.84691000,1698811199999,29163.39479590,75,0.71820000,24733.79880070
1698811200000,34440.94000000,34440.94000000,34394.06000000,34412.83000000,0.92263000,1698812099999,31751.78135450,119,0.29544000,10170.75385130
1698812100000,34432.37000000,34462.41000000,34425.14000000,34461.48000000,1.08707000,1698812999999,37443.36414230,111,0.99556000,34291.65197160
1698813000000,34442.36000000,34474.07000000,34442.36000000,34462.03000000,0.57776000,1698813899999,19910.62939680,98,0.22418000,7725.83742350
1698813900000,34462.03000000,34463.90000000,34415.85000000,34430.55000000,0.44662000,1698814799999,15388.13309650,100,0.37363000,12874.95914930
1698814800000,34443.95000000,34453.32000000,34388.39000000,34403.57000000,1.68678000,1698815699999,58039.06125960,171,0.23871000,8216.81273040
1698815700000,34403.57000000,34422.65000000,34385.99000000,34422.65000000,5.35777000,1698816599999,184424.18691950,136,5.21632000,179559.13558850
1698816600000,34422.65000000,34422.65000000,34369.18000000,34378.44000000,0.34301000,1698817499999,11795.38462350,117,0.07932000,2727.60049440
1698817500000,34371.84000000,34406.69000000,34325.19000000,34328.62000000,0.93147000,1698818399999,31996.59848280,267,0.05633000,1936.92784150
1698818400000,34338.77000000,34380.00000000,34309.94000000,34367.88000000,0.72208000,1698819299999,24788.93657620,148,0.36820000,12635.57207710
1698819300000,34356.03000000,34384.21000000,34356.03000000,34381.09000000,0.10871000,1698820199999,3735.66834820,30,0.01890000,649.78103250
1698820200000,34379.62000000,34409.26000000,34354.05000000,34409.18000000,0.15330000,1698821099999,5272.96860660,42,0.12058000,4148.07733010
1698821100000,34409.10000000,34409.26000000,34376.40000000,34408.25000000,0.14433000,1698821999999,4965.13514930,45,0.10234000,3521.34169210
1698822000000,34408.15000000,34441.46000000,34385.48000000,34441.46000000,0.22667000,1698822899999,7800.53592360,116,0.17951000,6178.28845100
1698822900000,34411.98000000,34484.60000000,34411.97000000,34448.20000000,1.34650000,1698823799999,46394.67034230,126,1.27672000,43991.02975100
1698823800000,34473.67000000,34481.28000000,34428.97000000,34468.51000000,0.33163000,1698824699999,11431.63124110,95,0.28060000,9673.37889020
1698824700000,34481.93000000,34497.03000000,34450.70000000,34450.70000000,0.15080000,1698825599999,5199.49704620,102,0.10857000,3744.12280980
1698825600000,34450.70000000,34464.53000000,34410.92000000,34410.93000000,2.35098000,1698826499999,80936.37663510,149,1.07520000,37015.37266170
1698826500000,34419.10000000,34426.51000000,34392.48000000,34426.51000000,0.94841000,1698827399999,32649.14583650,40,0.88250000,30381.12922750
1698827400000,34426.17000000,34426.51000000,34404.96000000,34426.50000000,0.88635000,1698828299999,30513.67732600,158,0.87229000,30029.89970750
1698828300000,34426.47000000,34426.51000000,34426.47000000,34426.51000000,0.04036000,1698829199999,1389.45368930,21,0.03165000,1089.59887430
1698829200000,34406.45000000,34426.51000000,34406.45000000,34426.51000000,0.95977000,1698830099999,33041.28177120,69,0.94742000,32616.36202890
1698830100000,34426.51000000,34436.17000000,34419.85000000,34419.85000000,0.38856000,1698830999999,13376.76801390,50,0.37991000,13078.98313710
1698831000000,34420.44000000,34478.95000000,34420.44000000,34465.59000000,0.22131000,1698831899999,7624.18853340,43,0.18012000,6205.88538520
1698831900000,34452.10000000,34475.00000000,34421.08000000,34472.27000000,0.76861000,1698832799999,26488.62847830,85,0.65038000,22415.41532510
1698832800000,34475.00000000,34478.95000000,34438.08000000,34450.83000000,0.61007000,1698833699999,21014.38171270,56,0.10758000,3708.01309830
1698833700000,34428.44000000,34455.18000000,34425.01000000,34436.69000000,0.76544000,1698834599999,26358.87364380,65,0.62049000,21367.68379010
1698834600000,34436.69000000,34436.69000000,34371.93000000,34397.84000000,1.53384000,1698835499999,52795.34621970,84,0.12002000,4130.67269290
1698835500000,34397.84000000,34397.84000000,34350.37000000,34364.81000000,0.48057000,1698836399999,16515.62871920,136,0.23828000,8188.65681760
