open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1680307200000,28460.10000000,28502.95000000,28448.66000000,28494.43000000,7.91100000,1680308099999,225232.58303250,178,4.45213000,126758.36440900
1680308100000,28504.03000000,28549.95000000,28466.64000000,28483.43000000,15.64856000,1680308999999,446079.70322680,367,7.78853000,222008.52912190
1680309000000,28483.54000000,28502.45000000,28411.80000000,28446.62000000,17.52840000,1680309899999,498736.95858520,389,8.33605000,237174.23782560
1680309900000,28447.73000000,28447.73000000,28410.88000000,28441.91000000,8.18601000,1680310799999,232709.32148810,152,4.01061000,114019.58010260
1680310800000,28433.78000000,28457.21000000,28406.17000000,28436.76000000,6.86548000,1680311699999,195176.71933540,175,3.18939000,90655.70294040
1680311700000,28436.76000000,28454.80000000,28424.97000000,28440.54000000,4.63236000,1680312599999,131752.86954110,129,1.87283000,53270.98811890
1680312600000,28442.43000000,28489.52000000,28442.43000000,28466.92000000,5.16838000,1680313499999,147116.92332900,128,3.34105000,95098.86260560
1680313500000,28466.92000000,28625.22000000,28464.37000000,28613.70000000,29.77311000,1680314399999,850556.89729620,558,16.02303000,457766.93525800
1680314400000,28614.91000000,28815.32000000,28590.33000000,28673.63000000,66.78624000,1680315299999,1918094.80313190,1699,35.05799000,1006761.22065320
1680315300000,28668.10000000,28693.89000000,28537.37000000,28608.86000000,35.91722000,1680316199999,1027652.72792070,781,19.58521000,560335.60628990
1680316200000,28608.86000000,28610.79000000,28470.49000000,28514.87000000,24.90684000,1680317099999,710292.56273950,473,10.11172000,288316.88858210
1680317100000,28515.79000000,28592.93000000,28510.58000000,28580.90000000,15.29546000,1680317999999,436716.47319780,278,6.35472000,181441.46846710
1680318000000,28590.00000000,28608.86000000,28534.32000000,28575.51000000,10.29671000,1680318899999,294154.47746860,197,7.47171000,213469.67764610
1680318900000,28573.15000000,28581.84000000,28525.73000000,28529.72000000,5.87327000,1680319799999,167672.65778200,114,3.30654000,94405.85682200
1680319800000,28528.81000000,28565.60000000,28502.95000000,28543.53000000,11.26137000,1680320699999,321332.76887030,224,6.15049000,175488.42642090
1680320700000,28533.93000000,28567.88000000,28525.35000000,28539.76000000,4.21844000,1680321599999,120424.85654360,107,0.59195000,16895.96971450
1680321600000,28541.27000000,28585.61000000,28516.53000000,28563.53000000,6.44026000,1680322499999,183889.87644060,159,2.41951000,69115.50510020
1680322500000,28560.76000000,28595.66000000,28554.19000000,28591.38000000,3.06269000,1680323399999,87514.43174170,116,1.91790000,54802.44744070
1680323400000,28589.52000000,28618.93000000,28578.76000000,28592.68000000,4.03448000,1680324299999,115385.82312830,143,2.55363000,73033.57949920
1680324300000,28596.21000000,28623.81000000,28565.73000000,28584.06000000,6.27490000,1680325199999,179461.33991920,152,3.60755000,103165.29997000
1680325200000,28583.97000000,28590.57000000,28551.09000000,28558.15000000,6.57139000,1680326099999,187768.91709370,178,3.77008000,107731.04676910
1680326100000,28557.03000000,28574.85000000,28529.60000000,28529.60000000,5.09251000,1680326999999,145404.10318040,114,1.65836000,47361.01484360
1680327000000,28528.38000000,28560.37000000,28528.38000000,28552.57000000,6.25520000,1680327899999,178559.18005110,145,4.26194000,121665.22491310
1680327900000,28557.73000000,28574.72000000,28552.57000000,28574.72000000,1.50032000,1680328799999,42852.57197650,54,0.80151000,22897.82812690
1680328800000,28574.74000000,28575.49000000,28515.00000000,28528.18000000,6.46521000,1680329699999,184534.03427080,163,2.96560000,84640.20743210
1680329700000,28531.91000000,28533.20000000,28418.79000000,28426.29000000,24.30292000,1680330599999,691981.84009530,624,11.66073000,331972.38800640
1680330600000,28426.56000000,28486.98000000,28356.00000000,28480.57000000,29.87140000,1680331499999,848902.21019010,643,14.37844000,408652.49075740
1680331500000,28479.76000000,28492.02000000,28457.78000000,28481.04000000,6.10816000,1680332399999,173901.89523740,119,2.82262000,80369.40053310
1680332400000,28485.08000000,28485.09000000,28403.54000000,28407.49000000,7.77153000,1680333299999,220982.99465770,184,4.46597000,126945.39558320
1680333300000,28408.59000000,28411.29000000,28351.13000000,28404.29000000,20.81581000,1680334199999,590805.71368000,453,9.73527000,276339.61181240
1680334200000,28407.38000000,28426.92000000,28387.26000000,28413.37000000,7.37792000,1680335099999,209584.94904510,158,3.41670000,97053.58095880
1680335100000,28405.39000000,28440.30000000,28396.45000000,28421.47000000,3.52542000,1680335999999,100202.15506290,101,1.14587000,32576.18757470
1680336000000,28419.04000000,28441.76000000,28413.15000000,28431.97000000,4.50116000,1680336899999,127954.65001670,100,3.19598000,90851.29510030
