open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1575158400000,7540.08000000,7542.65000000,7503.26000000,7508.56000000,0.94845600,1575159299999,7126.51299104,59,0.50594600,3801.14817662
1575159300000,7510.15000000,7518.85000000,7494.43000000,7497.79000000,0.84802100,1575160199999,6365.61556121,52,0.79465000,5965.29309512
1575160200000,7491.96000000,7518.83000000,7491.96000000,7501.28000000,0.46389400,1575161099999,3483.42171350,43,0.42825300,3215.88019684
1575161100000,7493.10000000,7498.73000000,7470.11000000,7483.02000000,1.46235000,1575161999999,10940.27432998,58,1.33706900,10002.89379118
1575162000000,7484.30000000,7491.86000000,7416.86000000,7429.97000000,1.69353100,1575162899999,12633.70285759,92,1.31855700,9837.79670392
1575162900000,7426.28000000,7443.09000000,7396.31000000,7402.37000000,1.99658000,1575163799999,14813.43013506,99,1.22001500,9053.99080102
1575163800000,7394.20000000,7420.62000000,7373.78000000,7388.44000000,2.49066300,1575164699999,18407.75634946,143,1.80840100,13369.61393749
1575164700000,7376.78000000,7406.97000000,7372.95000000,7397.50000000,1.55356300,1575165599999,11481.44662591,64,1.08327700,8005.75845568
1575165600000,7379.11000000,7400.43000000,7379.11000000,7400.43000000,0.50263400,1575166499999,3713.17902574,37,0.47348700,3498.06950222
1575166500000,7406.78000000,7432.42000000,7406.78000000,7420.65000000,1.38683600,1575167399999,10284.92906834,29,1.25597800,9312.92058294
1575167400000,7424.36000000,7424.36000000,7389.71000000,7389.71000000,0.87724900,1575168299999,6493.75273576,64,0.79617100,5894.18643659
1575168300000,7386.79000000,7389.77000000,7301.05000000,7311.52000000,4.36537900,1575169199999,31991.74762605,142,2.57589100,18856.07291321
1575169200000,7301.05000000,7324.17000000,7261.99000000,7284.56000000,2.24515900,1575170099999,16354.24231635,140,1.64820000,12005.41863306
1575170100000,7279.14000000,7298.37000000,7269.18000000,7287.02000000,3.41183600,1575170999999,24841.92942315,207,3.24544800,23630.96231665
1575171000000,7293.40000000,7302.49000000,7236.66000000,7257.82000000,0.69058000,1575171899999,5015.88030868,25,0.41187000,2993.06524502
1575171900000,7278.45000000,7285.00000000,7258.99000000,7283.84000000,0.75135700,1575172799999,5463.94515796,28,0.64132200,4663.39472580
1575172800000,7286.68000000,7313.66000000,7277.62000000,7290.69000000,0.39780700,1575173699999,2902.36234627,33,0.31551900,2302.78383885
1575173700000,7289.34000000,7289.34000000,7271.88000000,7283.07000000,1.22855000,1575174599999,8942.50736832,23,1.14772500,8354.50730403
1575174600000,7278.90000000,7317.05000000,7273.04000000,7302.50000000,1.60729500,1575175499999,11715.08410421,46,1.15223100,8399.62325270
1575175500000,7315.77000000,7349.21000000,7315.77000000,7339.20000000,0.77246600,1575176399999,5662.72474504,65,0.69537900,5097.89332860
1575176400000,7335.87000000,7335.87000000,7313.39000000,7331.37000000,0.35507600,1575177299999,2601.53400068,39,0.26067600,1910.05116868
1575177300000,7330.30000000,7339.80000000,7299.77000000,7311.27000000,0.44228100,1575178199999,3239.21149569,47,0.33277700,2438.77219263
1575178200000,7308.55000000,7308.55000000,7254.04000000,7288.02000000,0.45900700,1575179099999,3340.23259565,28,0.35810800,2606.23190217
1575179100000,7279.97000000,7307.72000000,7270.48000000,7307.72000000,0.29774100,1575179999999,2168.59020121,25,0.26620300,1939.25362795
1575180000000,7310.50000000,7318.45000000,7283.86000000,7315.92000000,1.91679600,1575180899999,14004.96025251,112,1.37438700,10044.45734284
1575180900000,7309.38000000,7327.14000000,7301.80000000,7321.75000000,0.29407200,1575181799999,2152.29458389,37,0.29213200,2138.12909189
1575181800000,7320.70000000,7333.25000000,7313.41000000,7318.11000000,0.18586200,1575182699999,1361.05522387,18,0.15724000,1151.54029739
1575182700000,7318.74000000,7318.74000000,7299.32000000,7301.25000000,0.04653500,1575183599999,339.81921781,5,0.04516500,329.81420371
1575183600000,7302.87000000,7340.88000000,7302.87000000,7327.83000000,0.67337600,1575184499999,4937.08129784,25,0.61877700,4536.92172587
1575184500000,7321.15000000,7323.26000000,7312.38000000,7312.38000000,0.13697700,1575185399999,1002.30524731,13,0.03981000,291.44250199
1575185400000,7309.67000000,7321.76000000,7309.67000000,7316.15000000,0.06825600,1575186299999,499.00493104,5,0.06136600,448.58172416
1575186300000,7315.47000000,7315.47000000,7261.63000000,7278.78000000,0.86944600,1575187199999,6337.02301286,41,0.16569100,1206.01771633
1575187200000,7280.03000000,7288.77000000,7256.75000000,7288.71000000,0.44165700,1575188099999,3215.75029653,16,0.36058900,2626.84990833
1575188100000,7298.44000000,7311.10000000,7291.03000000,7311.10000000,0.09012100,1575188999999,658.20412679,15,0.05996400,438.13351032
1575189000000,7313.91000000,7315.33000000,7284.88000000,7289.32000000,0.63280000,1575189899999,4622.68341697,37,0.31595800,2310.27126324
1575189900000,7302.27000000,7302.27000000,7288.86000000,7288.86000000,0.09594400,1575190799999,699.85913617,5,0.06848900,499.74348487
1575190800000,7302.61000000,7302.61000000,7290.93000000,7290.93000000,0.00389700,1575191699999,28.44224621,2,0.00252500,18.43909025
1575191700000,7286.89000000,7294.73000000,7282.79000000,7287.00000000,0.03282200,1575192599999,239.18060806,5,0.00200500,14.62593365
1575192600000,7287.00000000,7287.00000000,7264.63000000,7264.63000000,0.19078800,1575193499999,1388.51113520,12,0.02749600,199.97868296
1575193500000,7256.64000000,7321.99000000,7236.66000000,7311.27000000,1.49497700,1575194399999,10896.43906033,70,1.23368600,8990.86779985
1575194400000,7315.99000000,7328.84000000,7291.78000000,7304.68000000,0.33300400,1575195299999,2433.87553691,21,0.19605900,1433.80923013
1575195300000,7312.03000000,7363.46000000,7308.64000000,7363.46000000,0.58218300,1575196199999,4267.33011807,44,0.52616500,3857.21639286
