open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1609459200000,28933.86000000,29019.05000000,28708.39000000,28760.95000000,7.29625900,1609460099999,210446.66880843,220,1.92166700,55688.00254891
1609460100000,28752.86000000,28884.34000000,28734.21000000,28830.59000000,3.32924500,1609460999999,95923.84129921,244,0.59848400,17245.19801690
1609461000000,28841.48000000,28945.71000000,28836.42000000,28918.70000000,1.82410300,1609461899999,52737.69737032,112,1.18224700,34184.16618511
1609461900000,28930.95000000,29034.02000000,28888.91000000,29012.30000000,1.21947300,1609462799999,35335.36603131,75,0.62235000,18021.32326938
1609462800000,28999.37000000,29383.71000000,28961.27000000,29372.22000000,4.50659900,1609463699999,131655.18935232,274,2.19219700,64009.99025307
1609463700000,29377.99000000,29419.99000000,29232.67000000,29371.73000000,9.98050700,1609464599999,292679.23636887,382,4.70664100,138068.63905430
1609464600000,29377.76000000,29475.57000000,29317.68000000,29327.49000000,7.39077500,1609465499999,217331.65674845,362,4.44900100,130893.79672617
1609465500000,29322.97000000,29432.11000000,29322.53000000,29405.80000000,2.52523100,1609466399999,74172.48345264,140,0.60217600,17690.62948920
1609466400000,29434.69000000,29465.08000000,29212.20000000,29258.01000000,5.21300800,1609467299999,153098.67885467,227,0.67771600,19887.23016830
1609467300000,29245.05000000,29390.27000000,29245.05000000,29309.78000000,5.32141500,1609468199999,156067.00242545,236,1.17892600,34570.73147096
1609468200000,29299.08000000,29299.08000000,29122.75000000,29275.58000000,4.40755600,1609469099999,128747.25260170,203,2.12340300,61975.32873529
1609469100000,29271.28000000,29333.73000000,29151.35000000,29187.35000000,1.77503600,1609469999999,51880.43888557,114,0.39225900,11473.53273570
1609470000000,29213.39000000,29292.39000000,29213.39000000,29271.15000000,1.36153100,1609470899999,39851.97386010,76,0.56462500,16527.94880764
1609470900000,29278.47000000,29313.75000000,29149.88000000,29206.87000000,1.71519700,1609471799999,50167.92170653,105,0.81520600,23845.64775652
1609471800000,29205.89000000,29356.23000000,29187.85000000,29284.99000000,4.15502000,1609472699999,121677.85867337,135,2.53611900,74283.91152918
1609472700000,29275.93000000,29322.81000000,29242.47000000,29282.51000000,0.87000000,1609473599999,25485.78066990,94,0.15326900,4488.14008756
1609473600000,29280.63000000,29352.23000000,29280.63000000,29282.65000000,1.31142600,1609474499999,38439.72447580,122,0.41807500,12253.03017413
1609474500000,29299.71000000,29405.54000000,29299.71000000,29344.70000000,0.92716600,1609475399999,27218.13538527,90,0.37030200,10869.64842905
1609475400000,29336.15000000,29379.95000000,29071.86000000,29178.63000000,3.27882500,1609476299999,95804.43297523,271,0.70765200,20704.23047276
1609476300000,29183.50000000,29239.09000000,29176.38000000,29215.39000000,0.91069300,1609477199999,26608.89915519,76,0.45856000,13401.45261169
1609477200000,29231.31000000,29231.31000000,29089.72000000,29126.77000000,5.16119100,1609478099999,150398.67076589,217,0.61125700,17810.07705291
1609478100000,29172.72000000,29195.29000000,29128.07000000,29168.77000000,1.27882300,1609478999999,37274.87530230,85,0.10457000,3049.12287411
1609479000000,29164.79000000,29206.42000000,29112.94000000,29179.36000000,1.47125600,1609479899999,42909.23172820,94,0.30994400,9038.83525582
1609479900000,29182.67000000,29221.48000000,29141.96000000,29181.80000000,3.87884100,1609480799999,113209.94349133,103,0.25843800,7539.02984139
1609480800000,29202.77000000,29266.94000000,29190.51000000,29217.39000000,1.21577800,1609481699999,35534.37402624,147,0.31457200,9196.97970403
1609481700000,29227.33000000,29233.72000000,29110.00000000,29110.00000000,2.20946000,1609482599999,64481.40798195,80,1.55524500,45392.45266933
1609482600000,29101.50000000,29215.29000000,29101.50000000,29201.72000000,1.10971900,1609483499999,32370.93186111,68,0.64946900,18953.45623958
1609483500000,29193.39000000,29204.83000000,29093.51000000,29157.45000000,1.69256200,1609484399999,49300.34559227,85,0.42776200,12465.16637380
