id,price,qty,quote_qty,time,is_buyer_maker
27172951,42278.79000000,0.00100000,42.27879000,1704067233581,False
27172952,42288.99000000,0.00670000,283.33623300,1704067233760,False
27172953,42289.00000000,0.00236000,99.80204000,1704067233760,False
27172954,42299.55000000,0.00003000,1.26898650,1704067233760,False
27172955,42299.56000000,0.00037000,15.65083720,1704067233760,False
27172956,42278.80000000,0.00046000,19.44824800,1704067256212,True
27172957,42278.80000000,0.00019000,8.03297200,1704067260121,True
27172958,42278.80000000,0.52966000,22393.38920800,1704067261188,True
27172959,42299.55000000,0.00100000,42.29955000,1704067267515,False
27172960,42300.00000000,0.00100000,42.30000000,1704067269971,False
27172961,42304.83000000,0.00019000,8.03791770,1704067272516,False
27172962,42305.78000000,0.00305000,129.03262900,1704067273516,False
27172963,42306.27000000,0.00037000,15.65331990,1704067273598,False
27172964,42307.69000000,0.00010000,4.23076900,1704067273598,False
27172965,42308.35000000,0.00055000,23.26959250,1704067273598,False
27172966,42310.58000000,0.00134000,56.69617720,1704067273598,False
27172967,42290.42000000,0.01276000,539.62575920,1704067277225,True
27172968,42310.58000000,0.00185000,78.27457300,1704067289368,False
27172969,42314.20000000,0.00100000,42.31420000,1704067303189,False
27172970,42314.21000000,0.00627000,265.31009670,1704067303189,False
27172971,42314.22000000,0.00293000,123.98066460,1704067303189,False
27172972,42316.58000000,0.00049000,20.73512420,1704067303189,False
27172973,42326.09000000,0.51897000,21965.97092730,1704067303189,False
27172974,42310.58000000,0.00030000,12.69317400,1704067320111,True
27172975,42326.05000000,0.00046000,19.46998300,1704067323198,False
27172976,42326.05000000,0.00113000,47.82843650,1704067327159,True
27172977,42310.58000000,0.00447000,189.12829260,1704067327159,True
27172978,42310.59000000,0.00113000,47.81096670,1704067333912,True
27172979,42334.95000000,0.00100000,42.33495000,1704067354519,False
27172980,42334.95000000,0.00084000,35.56135800,1704067357031,True
27172981,42310.59000000,0.00167000,70.65868530,1704067371355,True
27172982,42310.59000000,0.00113000,47.81096670,1704067371355,True
