open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1596240000000,11339.93000000,11385.24000000,11305.29000000,11311.49000000,5.59452900,1596240899999,63551.58916719,71,4.88318100,55479.74451426
1596240900000,11320.65000000,11330.87000000,11229.46000000,11279.25000000,3.47540200,1596241799999,39144.19486273,76,1.42441000,16033.45979191
1596241800000,11279.25000000,11279.25000000,11229.46000000,11259.97000000,1.67027500,1596242699999,18814.91196266,37,0.83073600,9350.49110782
1596242700000,11268.76000000,11278.12000000,11244.98000000,11249.47000000,0.51991200,1596243599999,5855.24508748,21,0.17413700,1961.89686977
1596243600000,11248.95000000,11290.25000000,11242.08000000,11275.14000000,0.86139500,1596244499999,9715.46629303,20,0.72130200,8136.52079912
1596244500000,11276.29000000,11291.83000000,11276.29000000,11291.83000000,0.12898500,1596245399999,1455.32995201,14,0.08923400,1006.49560146
1596245400000,11291.83000000,11298.42000000,11279.38000000,11285.78000000,0.60659200,1596246299999,6850.48270926,22,0.16478200,1860.25198550
1596246300000,11271.15000000,11271.15000000,11265.11000000,11265.15000000,0.10014600,1596247199999,1128.44953725,8,0E-8,0E-8
1596247200000,11259.38000000,11298.71000000,11259.38000000,11298.71000000,0.05114900,1596248099999,576.60880711,9,0.02255700,254.22326821
1596248100000,11298.71000000,11320.89000000,11287.31000000,11314.17000000,0.64866400,1596248999999,7336.21174168,22,0.07385700,835.62369844
1596249000000,11310.57000000,11334.04000000,11310.57000000,11334.04000000,0.33196100,1596249899999,3757.78161501,14,0.27611600,3125.93309168
1596249900000,11337.27000000,11338.73000000,11320.58000000,11330.42000000,0.83966100,1596250799999,9511.69903445,28,0.02605100,295.01395462
1596250800000,11323.85000000,11357.35000000,11319.49000000,11357.35000000,0.74243200,1596251699999,8416.10021068,15,0.44534300,5050.11899989
1596251700000,11341.67000000,11374.79000000,11341.67000000,11371.07000000,0.92944400,1596252599999,10566.51917586,35,0.86033900,9780.97770119
1596252600000,11375.36000000,11405.43000000,11367.24000000,11405.43000000,1.13412400,1596253499999,12907.25991585,28,0.83856100,9545.99992120
1596253500000,11395.54000000,11406.10000000,11360.61000000,11368.03000000,1.52570500,1596254399999,17356.29435940,41,1.11533000,12685.84344661
1596254400000,11348.74000000,11375.19000000,11334.36000000,11375.19000000,1.79608400,1596255299999,20394.26012713,52,0.83549200,9499.52993009
1596255300000,11381.66000000,11405.03000000,11377.68000000,11377.68000000,0.89000900,1596256199999,10131.62565396,35,0.26286600,2993.71556606
1596256200000,11375.67000000,11422.47000000,11375.67000000,11410.68000000,0.47928300,1596257099999,5464.99769427,33,0.23864900,2721.96490037
1596257100000,11394.43000000,11402.57000000,11391.33000000,11395.62000000,1.08417200,1596257999999,12357.37863850,20,0.78207700,8914.03640128
1596258000000,11395.62000000,11455.34000000,11381.20000000,11424.12000000,2.14213700,1596258899999,24454.27076386,58,0.25861600,2955.40070882
1596258900000,11440.49000000,11490.30000000,11422.78000000,11490.30000000,0.31339500,1596259799999,3593.27570104,27,0.27617900,3166.64313063
1596259800000,11494.25000000,11550.00000000,11446.11000000,11549.42000000,3.54041700,1596260699999,40763.29587262,132,2.84852400,32819.84443994
1596260700000,11550.00000000,11643.80000000,11504.20000000,11605.84000000,11.43247600,1596261599999,132398.11442055,281,8.80079200,101927.53931097
1596261600000,11610.91000000,11638.54000000,11556.63000000,11632.10000000,1.40545900,1596262499999,16299.36840463,103,1.03144700,11963.57673106
1596262500000,11655.48000000,11749.99000000,11654.74000000,11710.07000000,6.08428600,1596263399999,71187.86835305,264,4.46134500,52199.76931456
1596263400000,11708.54000000,11711.98000000,11600.00000000,11634.76000000,6.29281100,1596264299999,73293.01585419,230,3.76449800,43859.74300313
1596264300000,11631.00000000,11671.47000000,11625.37000000,11637.84000000,0.82042700,1596265199999,9552.69632627,33,0.10380400,1209.25492850
1596265200000,11660.87000000,11661.52000000,11599.31000000,11606.44000000,0.75371300,1596266099999,8766.34687859,33,0.06061800,705.54335615
1596266100000,11623.91000000,11623.91000000,11590.09000000,11590.09000000,0.70119600,1596266999999,8128.90228892,17,0.01702900,197.65721686
1596267000000,11606.40000000,11623.18000000,11606.40000000,11618.95000000,0.04911700,1596267899999,570.30104195,4,0.01517300,176.33340035
1596267900000,11657.02000000,11670.88000000,11657.02000000,11670.88000000,0.00568000,1596268799999,66.25073704,2,0.00287600,33.52558952
1596268800000,11658.43000000,11714.66000000,11658.20000000,11714.66000000,0.68895000,1596269699999,8051.65669854,29,0.56500500,6601.12203563
1596269700000,11700.30000000,11700.30000000,11638.82000000,11642.24000000,0.08450900,1596270599999,984.67548280,13,0.01995600,232.49162713
1596270600000,11645.66000000,11689.40000000,11645.66000000,11689.40000000,0.29329400,1596271499999,3425.23785260,11,0.27401700,3200.29363783
1596271500000,11687.36000000,11689.95000000,11670.79000000,11675.16000000,0.14306900,1596272399999,1670.72137488,8,0.12989100,1516.77252562
1596272400000,11688.35000000,11688.35000000,11652.91000000,11652.91000000,0.04113900,1596273299999,479.91332787,4,0.00094200,10.99624860
1596273300000,11691.55000000,11703.98000000,11691.55000000,11703.01000000,0.31712800,1596274199999,3710.17364591,24,0.14293300,1671.97410742
1596274200000,11715.81000000,11717.24000000,11683.31000000,11697.67000000,0.10457100,1596275099999,1224.19710680,17,0.01246600,145.96284794
1596275100000,11681.64000000,11704.53000000,11676.35000000,11698.81000000,1.17269800,1596275999999,13702.34785669,25,0.11646400,1361.38690367
1596276000000,11699.27000000,11726.93000000,11693.75000000,11709.44000000,0.57881100,1596276899999,6779.10703645,39,0.39344700,4608.87674031
1596276900000,11715.04000000,11715.04000000,11616.54000000,11629.48000000,0.75236200,1596277799999,8771.72148436,40,0.06851200,798.84214268
1596277800000,11636.01000000,11636.01000000,11603.69000000,11622.82000000,0.46129600,1596278699999,5362.64529505,16,0.03416800,397.21393646
1596278700000,11639.05000000,11639.05000000,11603.52000000,11603.52000000,0.15578200,1596279599999,1810.19512594,11,0.05065900,589.22323202
1596279600000,11611.43000000,11633.95000000,11565.77000000,11633.95000000,1.60850500,1596280499999,18632.18065136,39,0.36717400,4259.91621867
1596280500000,11627.65000000,11634.99000000,11615.89000000,11634.99000000,0.23269200,1596281399999,2705.21738887,8,0.12745800,1481.36094309
1596281400000,11625.62000000,11628.92000000,11620.76000000,11625.90000000,0.03414600,1596282299999,396.95255886,6,0.03219400,374.26742990
1596282300000,11624.09000000,11655.49000000,11624.09000000,11655.49000000,0.27276600,1596283199999,3175.78618430,18,0.19860000,2312.68585601
1596283200000,11657.02000000,11691.23000000,11657.02000000,11684.72000000,1.02947400,1596284099999,12026.38104963,26,0.09704400,1133.86308292
1596284100000,11663.07000000,11679.88000000,11663.07000000,11669.98000000,0.94856600,1596284999999,11076.46213102,16,0.88083400,10285.98046301
1596285000000,11662.51000000,11662.51000000,11641.99000000,11643.13000000,0.05942800,1596285899999,692.35573050,6,0.01879300,218.98975601
1596285900000,11644.41000000,11664.19000000,11644.41000000,11664.19000000,0.11698400,1596286799999,1363.78288477,10,0.06397100,746.01016733
1596286800000,11673.08000000,11673.08000000,11577.39000000,11587.10000000,3.82986800,1596287699999,44447.96191355,76,0.08287100,962.36806545
1596287700000,11577.85000000,11610.09000000,11568.56000000,11575.47000000,0.66264100,1596288599999,7678.81851534,17,0.21635500,2508.51379004
1596288600000,11585.65000000,11588.76000000,11493.16000000,11557.44000000,12.81673600,1596289499999,147668.84846020,128,1.37865400,15923.00528216
1596289500000,11565.54000000,11565.54000000,11565.54000000,11565.54000000,0.00738800,1596290399999,85.44620952,1,0.00738800,85.44620952
1596290400000,11537.51000000,11556.56000000,11521.70000000,11521.70000000,0.68366200,1596291299999,7888.84847848,23,0.07201400,832.00069996
1596291300000,11512.72000000,11543.82000000,11509.06000000,11511.42000000,0.55149700,1596292199999,6354.87114087,15,0.05047200,581.93460330
1596292200000,11505.62000000,11559.29000000,11504.25000000,11559.29000000,0.50732700,1596293099999,5853.41094570,14,0.39503600,4557.74125817
1596293100000,11553.84000000,11593.38000000,11553.54000000,11593.38000000,1.24381700,1596293999999,14401.98356956,30,0.75585700,8753.96889308
1596294000000,11599.08000000,11628.15000000,11586.75000000,11616.11000000,2.51741200,1596294899999,29225.32171612,85,1.58153100,18362.77654206
1596294900000,11613.77000000,11613.77000000,11590.36000000,11590.36000000,0.26192100,1596295799999,3039.30499300,22,0.08892200,1031.85140591
1596295800000,11586.24000000,11634.20000000,11575.92000000,11632.84000000,1.47980000,1596296699999,17152.45523885,34,0.42254600,4909.61900785
1596296700000,11628.43000000,11637.41000000,11607.06000000,11637.41000000,0.48931500,1596297599999,5686.37959762,23,0.06907700,803.34404213
1596297600000,11630.60000000,11648.05000000,11609.78000000,11642.09000000,0.94254700,1596298499999,10966.55894940,71,0.73846100,8592.84854713
